transaction_id,timestamp,amount,currency,sender_account_id,receiver_account_id,sender_customer_id,receiver_customer_id,transaction_type,sender_country,receiver_country
20,2025-06-06T18:12:18,84550.3,INR,ACC1033,ACC1018,CUST001,CUST044,payment,India,India
21,2025-06-07T06:25:41,28726.22,INR,ACC1030,ACC1040,CUST026,CUST031,payment,India,India
22,2025-06-04T14:33:57,69946.02,INR,ACC1006,ACC1014,CUST045,CUST028,deposit,India,India
23,2025-06-07T14:50:42,46903.47,INR,ACC1087,ACC1006,CUST014,CUST045,deposit,India,India
24,2025-06-04T06:11:57,19358.63,INR,ACC1043,ACC1020,CUST007,CUST003,transfer,India,India
25,2025-06-07T07:24:56,50729.6,INR,ACC1008,ACC1061,CUST046,CUST030,payment,India,India
26,2025-06-01T23:17:23,35046.78,INR,ACC1074,ACC1056,CUST048,CUST011,withdrawal,India,India
27,2025-06-02T14:02:19,77699.46,INR,ACC1082,ACC1002,CUST042,CUST049,transfer,India,India
28,2025-06-02T17:52:56,13352.91,INR,ACC1008,ACC1005,CUST046,CUST024,withdrawal,India,China
29,2025-06-07T09:25:05,47313.02,INR,ACC1072,ACC1017,CUST029,CUST017,deposit,India,India
30,2025-06-02T19:50:08,82343.32,INR,ACC1011,ACC1052,CUST020,CUST013,deposit,India,India
31,2025-06-06T17:01:13,87168.48,INR,ACC1095,ACC1041,CUST037,CUST016,deposit,India,India
32,2025-06-03T12:52:46,2354.55,INR,ACC1099,ACC1004,CUST041,CUST008,payment,India,India
33,2025-06-03T03:25:59,28513.17,INR,ACC1047,ACC1053,CUST039,CUST031,transfer,India,India
34,2025-06-04T19:51:41,4672.92,INR,ACC1071,ACC1069,CUST030,CUST011,withdrawal,India,India
35,2025-06-07T07:44:45,53419.96,INR,ACC1077,ACC1005,CUST016,CUST024,payment,India,China
36,2025-06-08T04:55:19,23423.04,INR,ACC1067,ACC1009,CUST038,CUST016,withdrawal,India,India
37,2025-06-06T23:09:31,20397.29,INR,ACC1040,ACC1069,CUST031,CUST011,payment,India,India
38,2025-06-07T20:23:00,47472.01,INR,ACC1040,ACC1021,CUST031,CUST031,deposit,India,India
39,2025-06-05T04:15:40,13015.91,INR,ACC1090,ACC1060,CUST030,CUST047,withdrawal,India,India
40,2025-06-06T13:26:54,64970.97,INR,ACC1002,ACC1056,CUST049,CUST011,withdrawal,India,India
41,2025-06-06T04:03:48,62339.14,INR,ACC1083,ACC1016,CUST006,CUST031,payment,India,India
42,2025-06-03T03:25:02,37280.71,INR,ACC1047,ACC1096,CUST039,CUST007,payment,India,India
43,2025-06-01T12:03:46,60894.19,INR,ACC1041,ACC1057,CUST016,CUST004,payment,India,India
44,2025-06-01T19:29:24,18681.58,INR,ACC1083,ACC1063,CUST006,CUST032,deposit,India,India
45,2025-06-03T11:18:11,50040.78,INR,ACC1098,ACC1016,CUST026,CUST031,transfer,India,India
46,2025-06-05T01:36:18,20209.93,INR,ACC1035,ACC1064,CUST029,CUST002,transfer,India,India
47,2025-06-04T17:22:13,70949.94,INR,ACC1007,ACC1039,CUST015,CUST039,deposit,India,India
48,2025-06-02T13:20:52,34027.43,INR,ACC1013,ACC1068,CUST038,CUST042,deposit,India,India
49,2025-06-03T18:27:07,40794.28,INR,ACC1067,ACC1093,CUST038,CUST029,withdrawal,India,India
50,2025-06-04T20:39:29,54203.31,INR,ACC1073,ACC1019,CUST008,CUST041,transfer,India,India
51,2025-06-08T07:56:22,61830.64,INR,ACC1024,ACC1052,CUST016,CUST013,deposit,India,India
52,2025-06-03T15:32:18,66431.53,INR,ACC1024,ACC1042,CUST016,CUST018,deposit,India,India
53,2025-06-05T08:10:24,81609.85,INR,ACC1041,ACC1004,CUST016,CUST008,withdrawal,India,India
54,2025-06-04T22:24:57,72457.86,INR,ACC1091,ACC1044,CUST039,CUST001,transfer,India,India
55,2025-06-02T07:15:01,51283.59,INR,ACC1004,ACC1053,CUST008,CUST031,deposit,India,India
56,2025-06-03T20:10:33,42590.39,INR,ACC1042,ACC1095,CUST018,CUST037,deposit,India,India
57,2025-06-03T05:40:26,63886.04,INR,ACC1023,ACC1070,CUST047,CUST021,deposit,India,India
58,2025-06-06T15:04:33,22501.49,INR,ACC1045,ACC1082,CUST010,CUST042,payment,India,India
59,2025-06-07T20:54:45,12316.16,INR,ACC1038,ACC1075,CUST006,CUST031,transfer,India,Nigeria
60,2025-06-07T05:46:03,68916.02,INR,ACC1071,ACC1032,CUST030,CUST018,payment,India,India
61,2025-06-06T02:14:45,1529.86,INR,ACC1010,ACC1040,CUST027,CUST031,payment,India,India
62,2025-06-04T16:33:33,60417.37,INR,ACC1087,ACC1010,CUST014,CUST027,withdrawal,India,India
63,2025-06-04T02:33:06,27076.52,INR,ACC1079,ACC1047,CUST028,CUST039,payment,India,India
64,2025-06-03T11:39:02,49697.44,INR,ACC1100,ACC1064,CUST026,CUST002,transfer,India,India
65,2025-06-06T02:02:08,79807.01,INR,ACC1057,ACC1032,CUST004,CUST018,transfer,India,India
66,2025-06-06T17:42:19,86349.6,INR,ACC1021,ACC1097,CUST031,CUST041,payment,India,India
67,2025-06-02T16:21:26,83456.46,INR,ACC1003,ACC1060,CUST016,CUST047,transfer,India,India
68,2025-06-03T08:04:28,42298.79,INR,ACC1013,ACC1084,CUST038,CUST015,transfer,India,India
69,2025-06-03T10:48:14,42784.37,INR,ACC1034,ACC1056,CUST001,CUST011,transfer,India,India
70,2025-06-08T06:41:19,876.2,INR,ACC1084,ACC1053,CUST015,CUST031,deposit,India,India
71,2025-06-03T06:39:48,31936.96,INR,ACC1033,ACC1092,CUST001,CUST028,payment,India,India
72,2025-06-05T15:17:15,70493.95,INR,ACC1033,ACC1003,CUST001,CUST016,transfer,India,India
73,2025-06-04T22:17:25,9099.02,INR,ACC1015,ACC1002,CUST002,CUST049,withdrawal,India,India
74,2025-06-03T09:48:31,66965.59,INR,ACC1089,ACC1087,CUST010,CUST014,deposit,India,India
75,2025-06-03T13:26:10,74261.89,INR,ACC1039,ACC1005,CUST039,CUST024,payment,India,China
76,2025-06-08T08:24:45,51631.25,INR,ACC1062,ACC1091,CUST038,CUST039,deposit,India,India
77,2025-06-04T20:22:17,13033.87,INR,ACC1027,ACC1097,CUST017,CUST041,transfer,India,India
78,2025-06-03T00:13:23,6422.76,INR,ACC1090,ACC1095,CUST030,CUST037,payment,India,India
79,2025-06-06T10:55:46,83147.9,INR,ACC1029,ACC1086,CUST017,CUST011,deposit,India,India
80,2025-06-02T22:32:12,16126.88,INR,ACC1047,ACC1085,CUST039,CUST013,withdrawal,India,India
81,2025-06-02T11:16:27,35607.63,INR,ACC1082,ACC1044,CUST042,CUST001,withdrawal,India,India
82,2025-06-05T16:20:06,29006.71,INR,ACC1073,ACC1040,CUST008,CUST031,deposit,India,India
83,2025-06-07T00:45:38,53303.97,INR,ACC1027,ACC1032,CUST017,CUST018,withdrawal,India,India
84,2025-06-05T23:13:06,83564.91,INR,ACC1100,ACC1077,CUST026,CUST016,deposit,India,India
85,2025-06-03T23:20:01,59086.38,INR,ACC1079,ACC1015,CUST028,CUST002,transfer,India,India
86,2025-06-03T16:30:28,19671.99,INR,ACC1066,ACC1087,CUST040,CUST014,deposit,India,India
87,2025-06-03T20:01:07,3229.98,INR,ACC1019,ACC1055,CUST041,CUST020,transfer,India,India
88,2025-06-06T13:42:53,12386.99,INR,ACC1021,ACC1077,CUST031,CUST016,transfer,India,India
89,2025-06-03T09:09:27,87892.07,INR,ACC1057,ACC1040,CUST004,CUST031,transfer,India,India
90,2025-06-03T17:27:17,26923.26,INR,ACC1061,ACC1085,CUST030,CUST013,deposit,India,India
91,2025-06-01T22:57:35,58928.36,INR,ACC1066,ACC1096,CUST040,CUST007,withdrawal,India,India
92,2025-06-01T13:42:25,82451.81,INR,ACC1090,ACC1082,CUST030,CUST042,deposit,India,India
93,2025-06-01T18:04:45,56288.97,INR,ACC1088,ACC1024,CUST040,CUST016,transfer,India,India
94,2025-06-07T23:22:38,70811.4,INR,ACC1024,ACC1048,CUST016,CUST025,deposit,India,Nigeria
95,2025-06-07T01:09:38,52175.23,INR,ACC1022,ACC1014,CUST021,CUST028,transfer,India,India
96,2025-06-03T16:56:34,170.5,INR,ACC1085,ACC1027,CUST013,CUST017,deposit,India,India
97,2025-06-04T04:11:26,62267.3,INR,ACC1006,ACC1028,CUST045,CUST005,withdrawal,India,Nigeria
98,2025-06-05T13:42:40,77456.35,INR,ACC1021,ACC1040,CUST031,CUST031,withdrawal,India,India
99,2025-06-06T03:24:23,19870.58,INR,ACC1079,ACC1057,CUST028,CUST004,transfer,India,India
100,2025-06-03T20:03:44,82676.45,INR,ACC1040,ACC1098,CUST031,CUST026,withdrawal,India,India
101,2025-06-04T01:29:49,21596.56,INR,ACC1006,ACC1060,CUST045,CUST047,withdrawal,India,India
102,2025-06-05T13:28:59,58593.95,INR,ACC1073,ACC1049,CUST008,CUST028,payment,India,India
103,2025-06-05T13:04:38,17503.5,INR,ACC1006,ACC1035,CUST045,CUST029,withdrawal,India,India
104,2025-06-03T21:50:52,51028.48,INR,ACC1058,ACC1033,CUST043,CUST001,withdrawal,India,India
105,2025-06-05T22:23:41,19027.09,INR,ACC1051,ACC1012,CUST034,CUST040,payment,India,India
106,2025-06-08T06:53:38,76148.38,INR,ACC1001,ACC1010,CUST007,CUST027,payment,India,India
107,2025-06-04T00:20:23,43880.77,INR,ACC1100,ACC1044,CUST026,CUST001,deposit,India,India
108,2025-06-05T03:43:53,27018.12,INR,ACC1085,ACC1083,CUST013,CUST006,payment,India,India
109,2025-06-07T02:10:06,25028.33,INR,ACC1007,ACC1008,CUST015,CUST046,payment,India,India
110,2025-06-04T21:42:32,70731.33,INR,ACC1090,ACC1003,CUST030,CUST016,payment,India,India
111,2025-06-08T06:51:07,34669.4,INR,ACC1085,ACC1075,CUST013,CUST031,deposit,India,Nigeria
112,2025-06-06T23:58:56,77410.22,INR,ACC1072,ACC1015,CUST029,CUST002,transfer,India,India
113,2025-06-05T08:08:06,58944.89,INR,ACC1051,ACC1015,CUST034,CUST002,transfer,India,India
114,2025-06-05T14:50:25,16430.15,INR,ACC1042,ACC1005,CUST018,CUST024,transfer,India,China
115,2025-06-07T23:03:06,40801.37,INR,ACC1083,ACC1010,CUST006,CUST027,withdrawal,India,India
116,2025-06-03T15:46:15,65363.7,INR,ACC1012,ACC1038,CUST040,CUST006,transfer,India,India
117,2025-06-02T05:42:45,67563.72,INR,ACC1087,ACC1005,CUST014,CUST024,transfer,India,China
118,2025-06-05T21:13:48,16409.02,INR,ACC1025,ACC1002,CUST037,CUST049,transfer,India,India
119,2025-06-05T09:01:11,22392.2,INR,ACC1071,ACC1026,CUST030,CUST019,payment,India,India
120,2025-06-02T00:23:32,11941.48,INR,ACC1047,ACC1048,CUST039,CUST025,transfer,India,Nigeria
121,2025-06-03T11:12:20,7658.62,INR,ACC1067,ACC1036,CUST038,CUST048,payment,India,India
122,2025-06-03T21:50:36,31739.3,INR,ACC1021,ACC1090,CUST031,CUST030,withdrawal,India,India
123,2025-06-01T19:18:44,71218.38,INR,ACC1004,ACC1029,CUST008,CUST017,withdrawal,India,India
124,2025-06-04T22:53:07,50815.25,INR,ACC1016,ACC1045,CUST031,CUST010,withdrawal,India,India
125,2025-06-05T11:20:22,59148.53,INR,ACC1074,ACC1078,CUST048,CUST028,payment,India,India
126,2025-06-07T18:29:08,17137.0,INR,ACC1039,ACC1057,CUST039,CUST004,withdrawal,India,India
127,2025-06-01T14:33:01,35075.86,INR,ACC1071,ACC1036,CUST030,CUST048,transfer,India,India
128,2025-06-08T00:44:53,10096.31,INR,ACC1028,ACC1092,CUST005,CUST028,payment,Nigeria,India
129,2025-06-06T08:24:54,43548.24,INR,ACC1090,ACC1051,CUST030,CUST034,payment,India,India
130,2025-06-06T09:55:44,9947.72,INR,ACC1032,ACC1085,CUST018,CUST013,transfer,India,India
131,2025-06-07T19:38:41,79358.17,INR,ACC1086,ACC1096,CUST011,CUST007,withdrawal,India,India
132,2025-06-06T15:43:10,59825.89,INR,ACC1047,ACC1034,CUST039,CUST001,transfer,India,India
133,2025-06-03T09:44:50,82896.47,INR,ACC1015,ACC1100,CUST002,CUST026,withdrawal,India,India
134,2025-06-04T17:00:06,62369.33,INR,ACC1071,ACC1057,CUST030,CUST004,deposit,India,India
135,2025-06-01T14:19:14,6695.7,INR,ACC1064,ACC1043,CUST002,CUST007,deposit,India,India
136,2025-06-07T03:16:18,32634.78,INR,ACC1098,ACC1087,CUST026,CUST014,payment,India,India
137,2025-06-03T00:20:34,75359.62,INR,ACC1027,ACC1050,CUST017,CUST003,withdrawal,India,India
138,2025-06-03T06:11:38,38052.14,INR,ACC1090,ACC1052,CUST030,CUST013,transfer,India,India
139,2025-06-05T23:32:55,76650.59,INR,ACC1091,ACC1011,CUST039,CUST020,payment,India,India
140,2025-06-04T15:04:46,58740.12,INR,ACC1092,ACC1051,CUST028,CUST034,transfer,India,India
141,2025-06-05T05:23:10,56561.24,INR,ACC1037,ACC1014,CUST041,CUST028,payment,India,India
142,2025-06-07T01:52:40,70207.72,INR,ACC1079,ACC1093,CUST028,CUST029,deposit,India,India
143,2025-06-01T15:42:16,26888.25,INR,ACC1059,ACC1074,CUST012,CUST048,transfer,India,India
144,2025-06-02T19:11:09,76412.15,INR,ACC1082,ACC1048,CUST042,CUST025,payment,India,Nigeria
145,2025-06-06T11:32:05,45443.82,INR,ACC1019,ACC1082,CUST041,CUST042,payment,India,India
146,2025-06-04T01:28:47,31739.75,INR,ACC1043,ACC1040,CUST007,CUST031,deposit,India,India
147,2025-06-04T08:09:13,13754.76,INR,ACC1062,ACC1071,CUST038,CUST030,withdrawal,India,India
148,2025-06-06T22:47:32,77641.93,INR,ACC1061,ACC1063,CUST030,CUST032,withdrawal,India,India
149,2025-06-02T03:18:00,45865.54,INR,ACC1086,ACC1100,CUST011,CUST026,transfer,India,India
150,2025-06-04T10:09:58,18620.77,INR,ACC1074,ACC1067,CUST048,CUST038,payment,India,India
151,2025-06-06T19:11:44,47308.33,INR,ACC1098,ACC1022,CUST026,CUST021,deposit,India,India
152,2025-06-08T05:15:58,12142.64,INR,ACC1070,ACC1016,CUST021,CUST031,transfer,India,India
153,2025-06-02T08:26:46,66903.01,INR,ACC1052,ACC1070,CUST013,CUST021,transfer,India,India
154,2025-06-02T14:26:24,87605.54,INR,ACC1066,ACC1016,CUST040,CUST031,withdrawal,India,India
155,2025-06-06T17:03:51,86934.41,INR,ACC1008,ACC1073,CUST046,CUST008,payment,India,India
156,2025-06-01T13:32:59,44374.15,INR,ACC1006,ACC1078,CUST045,CUST028,withdrawal,India,India
157,2025-06-01T12:30:55,56551.13,INR,ACC1054,ACC1046,CUST009,CUST038,deposit,India,China
158,2025-06-05T00:07:25,63062.88,INR,ACC1019,ACC1061,CUST041,CUST030,withdrawal,India,India
159,2025-06-02T19:30:52,49620.53,INR,ACC1074,ACC1050,CUST048,CUST003,payment,India,India
160,2025-06-03T15:12:48,40823.16,INR,ACC1078,ACC1072,CUST028,CUST029,payment,India,India
161,2025-06-07T10:56:33,52519.19,INR,ACC1026,ACC1008,CUST019,CUST046,deposit,India,India
162,2025-06-06T07:16:17,39837.89,INR,ACC1047,ACC1019,CUST039,CUST041,payment,India,India
163,2025-06-01T19:35:55,66820.04,INR,ACC1054,ACC1038,CUST009,CUST006,deposit,India,India
164,2025-06-04T18:56:54,39471.39,INR,ACC1032,ACC1092,CUST018,CUST028,transfer,India,India
165,2025-06-03T16:21:22,38425.98,INR,ACC1088,ACC1059,CUST040,CUST012,deposit,India,India
166,2025-06-04T00:05:21,3661.65,INR,ACC1074,ACC1099,CUST048,CUST041,payment,India,India
167,2025-06-05T05:44:11,25913.96,INR,ACC1022,ACC1054,CUST021,CUST009,withdrawal,India,India
168,2025-06-04T08:15:11,12044.25,INR,ACC1082,ACC1065,CUST042,CUST027,payment,India,India
169,2025-06-02T08:39:42,70199.12,INR,ACC1091,ACC1004,CUST039,CUST008,deposit,India,India
170,2025-06-06T22:21:45,18674.06,INR,ACC1054,ACC1069,CUST009,CUST011,transfer,India,India
171,2025-06-07T07:41:14,69686.63,INR,ACC1070,ACC1044,CUST021,CUST001,transfer,India,India
172,2025-06-07T23:34:05,54827.84,INR,ACC1029,ACC1053,CUST017,CUST031,transfer,India,India
173,2025-06-07T23:38:34,15248.8,INR,ACC1034,ACC1003,CUST001,CUST016,withdrawal,India,India
174,2025-06-06T21:19:35,85824.78,INR,ACC1029,ACC1020,CUST017,CUST003,payment,India,India
175,2025-06-05T21:15:42,77698.66,INR,ACC1043,ACC1064,CUST007,CUST002,withdrawal,India,India
176,2025-06-04T13:33:57,67413.33,INR,ACC1016,ACC1087,CUST031,CUST014,payment,India,India
177,2025-06-04T13:00:43,11388.79,INR,ACC1082,ACC1092,CUST042,CUST028,deposit,India,India
178,2025-06-05T11:54:27,60286.09,INR,ACC1063,ACC1016,CUST032,CUST031,transfer,India,India
179,2025-06-04T08:56:17,14211.69,INR,ACC1037,ACC1057,CUST041,CUST004,deposit,India,India
180,2025-06-03T06:04:22,9494.65,INR,ACC1056,ACC1067,CUST011,CUST038,payment,India,India
181,2025-06-01T23:07:36,54881.09,INR,ACC1083,ACC1079,CUST006,CUST028,payment,India,India
182,2025-06-08T05:30:41,88068.91,INR,ACC1085,ACC1093,CUST013,CUST029,transfer,India,India
183,2025-06-03T21:40:30,67525.81,INR,ACC1039,ACC1058,CUST039,CUST043,transfer,India,India
184,2025-06-02T04:54:38,5289.22,INR,ACC1065,ACC1078,CUST027,CUST028,deposit,India,India
185,2025-06-08T01:17:10,8952.64,INR,ACC1008,ACC1064,CUST046,CUST002,deposit,India,India
186,2025-06-07T17:33:53,78246.03,INR,ACC1076,ACC1031,CUST010,CUST007,deposit,India,India
187,2025-06-06T06:26:33,5411.02,INR,ACC1050,ACC1004,CUST003,CUST008,transfer,India,India
188,2025-06-04T13:01:14,44968.33,INR,ACC1041,ACC1067,CUST016,CUST038,payment,India,India
189,2025-06-06T00:10:29,86095.65,INR,ACC1032,ACC1080,CUST018,CUST048,deposit,India,India
190,2025-06-03T16:24:22,56095.4,INR,ACC1048,ACC1051,CUST025,CUST034,withdrawal,Nigeria,India
191,2025-06-04T17:43:57,73492.36,INR,ACC1004,ACC1010,CUST008,CUST027,transfer,India,India
192,2025-06-04T17:42:36,20466.15,INR,ACC1078,ACC1042,CUST028,CUST018,transfer,India,India
193,2025-06-02T09:07:36,86277.7,INR,ACC1042,ACC1096,CUST018,CUST007,withdrawal,India,India
194,2025-06-02T19:01:28,29707.24,INR,ACC1083,ACC1006,CUST006,CUST045,transfer,India,India
195,2025-06-03T16:13:39,53072.33,INR,ACC1085,ACC1075,CUST013,CUST031,withdrawal,India,Nigeria
196,2025-06-04T13:21:55,5562.2,INR,ACC1047,ACC1009,CUST039,CUST016,payment,India,India
197,2025-06-01T17:04:36,65134.56,INR,ACC1035,ACC1031,CUST029,CUST007,deposit,India,India
198,2025-06-05T23:50:51,61858.22,INR,ACC1057,ACC1062,CUST004,CUST038,transfer,India,India
199,2025-06-06T10:49:40,80902.03,INR,ACC1066,ACC1013,CUST040,CUST038,withdrawal,India,India
200,2025-06-03T07:03:42,58454.87,INR,ACC1059,ACC1021,CUST012,CUST031,payment,India,India
201,2025-06-05T18:03:17,75280.61,INR,ACC1061,ACC1013,CUST030,CUST038,payment,India,India
202,2025-06-02T11:18:38,54066.57,INR,ACC1056,ACC1074,CUST011,CUST048,deposit,India,India
203,2025-06-04T23:45:04,65355.83,INR,ACC1067,ACC1099,CUST038,CUST041,transfer,India,India
204,2025-06-03T08:38:48,73678.66,INR,ACC1027,ACC1015,CUST017,CUST002,withdrawal,India,India
205,2025-06-05T04:43:29,85170.79,INR,ACC1032,ACC1001,CUST018,CUST007,withdrawal,India,India
206,2025-06-02T17:27:51,65964.95,INR,ACC1022,ACC1084,CUST021,CUST015,deposit,India,India
207,2025-06-07T09:14:25,72894.7,INR,ACC1065,ACC1056,CUST027,CUST011,deposit,India,India
208,2025-06-05T22:07:41,66931.02,INR,ACC1026,ACC1040,CUST019,CUST031,transfer,India,India
209,2025-06-05T05:51:34,86082.43,INR,ACC1009,ACC1002,CUST016,CUST049,payment,India,India
210,2025-06-05T09:29:17,22791.9,INR,ACC1027,ACC1093,CUST017,CUST029,withdrawal,India,India
211,2025-06-03T06:15:30,85344.97,INR,ACC1068,ACC1065,CUST042,CUST027,deposit,India,India
212,2025-06-02T20:33:41,50490.57,INR,ACC1057,ACC1090,CUST004,CUST030,transfer,India,India
213,2025-06-02T20:32:37,68121.78,INR,ACC1037,ACC1081,CUST041,CUST002,payment,India,India
214,2025-06-01T20:10:44,87289.08,INR,ACC1067,ACC1023,CUST038,CUST047,transfer,India,India
215,2025-06-04T19:17:52,15616.95,INR,ACC1012,ACC1060,CUST040,CUST047,withdrawal,India,India
216,2025-06-05T12:05:56,50525.89,INR,ACC1049,ACC1058,CUST028,CUST043,payment,India,India
217,2025-06-07T22:46:34,65475.78,INR,ACC1009,ACC1073,CUST016,CUST008,payment,India,India
218,2025-06-01T20:14:14,7137.24,INR,ACC1052,ACC1046,CUST013,CUST038,deposit,India,China
219,2025-06-02T03:25:34,33165.25,INR,ACC1057,ACC1076,CUST004,CUST010,withdrawal,India,India
220,2025-06-05T00:21:04,9661.82,INR,ACC1046,ACC1028,CUST038,CUST005,withdrawal,China,Nigeria
221,2025-06-05T04:31:40,28262.52,INR,ACC1091,ACC1058,CUST039,CUST043,deposit,India,India
222,2025-06-07T13:14:18,32717.86,INR,ACC1093,ACC1005,CUST029,CUST024,payment,India,China
223,2025-06-03T07:45:12,4021.88,INR,ACC1054,ACC1065,CUST009,CUST027,deposit,India,India
224,2025-06-07T15:05:11,24554.53,INR,ACC1097,ACC1053,CUST041,CUST031,payment,India,India
225,2025-06-02T17:04:26,23272.7,INR,ACC1019,ACC1065,CUST041,CUST027,transfer,India,India
226,2025-06-04T08:52:34,24422.47,INR,ACC1099,ACC1044,CUST041,CUST001,transfer,India,India
227,2025-06-02T09:47:55,71203.78,INR,ACC1028,ACC1034,CUST005,CUST001,transfer,Nigeria,India
228,2025-06-07T10:52:54,75042.36,INR,ACC1054,ACC1017,CUST009,CUST017,transfer,India,India
229,2025-06-03T23:45:06,6643.63,INR,ACC1039,ACC1080,CUST039,CUST048,withdrawal,India,India
230,2025-06-03T12:23:38,55685.34,INR,ACC1096,ACC1034,CUST007,CUST001,withdrawal,India,India
231,2025-06-06T11:02:02,13153.58,INR,ACC1025,ACC1003,CUST037,CUST016,withdrawal,India,India
232,2025-06-05T23:10:59,65778.42,INR,ACC1098,ACC1063,CUST026,CUST032,deposit,India,India
233,2025-06-06T07:36:46,83336.7,INR,ACC1039,ACC1050,CUST039,CUST003,payment,India,India
234,2025-06-06T05:57:41,58152.68,INR,ACC1020,ACC1075,CUST003,CUST031,withdrawal,India,Nigeria
235,2025-06-04T04:40:43,51660.28,INR,ACC1069,ACC1062,CUST011,CUST038,withdrawal,India,India
236,2025-06-02T03:40:55,20456.84,INR,ACC1007,ACC1079,CUST015,CUST028,transfer,India,India
237,2025-06-03T11:11:28,42405.42,INR,ACC1004,ACC1075,CUST008,CUST031,withdrawal,India,Nigeria
238,2025-06-02T18:04:47,65134.64,INR,ACC1046,ACC1066,CUST038,CUST040,payment,China,India
239,2025-06-07T16:43:35,57898.0,INR,ACC1041,ACC1088,CUST016,CUST040,transfer,India,India
240,2025-06-06T05:18:32,29917.2,INR,ACC1071,ACC1061,CUST030,CUST030,payment,India,India
241,2025-06-07T04:31:10,6029.93,INR,ACC1038,ACC1071,CUST006,CUST030,transfer,India,India
242,2025-06-03T17:32:37,44763.4,INR,ACC1022,ACC1041,CUST021,CUST016,withdrawal,India,India
243,2025-06-06T17:48:53,46343.96,INR,ACC1039,ACC1071,CUST039,CUST030,deposit,India,India
244,2025-06-02T07:40:14,27854.31,INR,ACC1093,ACC1036,CUST029,CUST048,withdrawal,India,India
245,2025-06-06T09:06:45,4069.99,INR,ACC1072,ACC1057,CUST029,CUST004,transfer,India,India
246,2025-06-04T21:26:04,13766.67,INR,ACC1090,ACC1047,CUST030,CUST039,payment,India,India
247,2025-06-04T20:52:50,12585.42,INR,ACC1007,ACC1017,CUST015,CUST017,withdrawal,India,India
248,2025-06-08T01:28:00,17268.02,INR,ACC1075,ACC1059,CUST031,CUST012,withdrawal,Nigeria,India
249,2025-06-08T01:38:01,86199.96,INR,ACC1067,ACC1091,CUST038,CUST039,withdrawal,India,India
250,2025-06-04T03:15:52,38100.02,INR,ACC1049,ACC1099,CUST028,CUST041,withdrawal,India,India
251,2025-06-01T22:15:40,29939.8,INR,ACC1046,ACC1026,CUST038,CUST019,payment,China,India
252,2025-06-04T10:25:35,11270.63,INR,ACC1085,ACC1043,CUST013,CUST007,payment,India,India
253,2025-06-07T10:45:04,63781.55,INR,ACC1034,ACC1006,CUST001,CUST045,withdrawal,India,India
254,2025-06-01T13:57:59,75742.82,INR,ACC1036,ACC1073,CUST048,CUST008,payment,India,India
255,2025-06-05T05:52:26,9829.93,INR,ACC1026,ACC1095,CUST019,CUST037,payment,India,India
256,2025-06-04T22:56:47,44375.91,INR,ACC1095,ACC1031,CUST037,CUST007,payment,India,India
257,2025-06-04T14:03:58,89307.05,INR,ACC1010,ACC1015,CUST027,CUST002,deposit,India,India
258,2025-06-07T14:20:44,21821.63,INR,ACC1023,ACC1010,CUST047,CUST027,withdrawal,India,India
259,2025-06-07T03:10:08,29814.03,INR,ACC1013,ACC1019,CUST038,CUST041,withdrawal,India,India
